combo_id,status,profit,prices
94,Optimal,4947.718066666666,"{""1-Local"": 6.62, ""1-Supermarket"": 6.82, ""1-Online"": 7.02, ""2-Local"": 16.08, ""2-Supermarket"": 10.46, ""2-Online"": 20.67}"
95,Optimal,4686.815400000001,"{""1-Local"": 6.62, ""1-Supermarket"": 6.82, ""1-Online"": 7.02, ""2-Local"": 16.08, ""2-Supermarket"": 10.46, ""2-Online"": 24.55}"
96,Optimal,4635.362733333335,"{""1-Local"": 6.62, ""1-Supermarket"": 6.82, ""1-Online"": 7.02, ""2-Local"": 16.08, ""2-Supermarket"": 12.29, ""2-Online"": 5.16}"
97,Optimal,4885.8547333333345,"{""1-Local"": 6.62, ""1-Supermarket"": 6.82, ""1-Online"": 7.02, ""2-Local"": 16.08, ""2-Supermarket"": 12.29, ""2-Online"": 9.04}"
98,Optimal,4996.350733333333,"{""1-Local"": 6.62, ""1-Supermarket"": 6.82, ""1-Online"": 7.02, ""2-Local"": 16.08, ""2-Supermarket"": 12.29, ""2-Online"": 12.92}"
99,Optimal,5021.798066666667,"{""1-Local"": 6.62, ""1-Supermarket"": 6.82, ""1-Online"": 7.02, ""2-Local"": 16.08, ""2-Supermarket"": 12.29, ""2-Online"": 16.79}"
100,Optimal,4899.9354,"{""1-Local"": 6.62, ""1-Supermarket"": 6.82, ""1-Online"": 7.02, ""2-Local"": 16.08, ""2-Supermarket"": 12.29, ""2-Online"": 20.67}"
101,Optimal,4587.6914000000015,"{""1-Local"": 6.62, ""1-Supermarket"": 6.82, ""1-Online"": 7.02, ""2-Local"": 16.08, ""2-Supermarket"": 12.29, ""2-Online"": 24.55}"
102,Optimal,4503.370066666668,"{""1-Local"": 6.62, ""1-Supermarket"": 6.82, ""1-Online"": 7.02, ""2-Local"": 16.08, ""2-Supermarket"": 14.13, ""2-Online"": 5.16}"
103,Optimal,4738.100733333335,"{""1-Local"": 6.62, ""1-Supermarket"": 6.82, ""1-Online"": 7.02, ""2-Local"": 16.08, ""2-Supermarket"": 14.13, ""2-Online"": 9.04}"
104,Optimal,4885.058066666667,"{""1-Local"": 6.62, ""1-Supermarket"": 6.82, ""1-Online"": 7.02, ""2-Local"": 16.08, ""2-Supermarket"": 14.13, ""2-Online"": 12.92}"
105,Optimal,4907.805399999999,"{""1-Local"": 6.62, ""1-Supermarket"": 6.82, ""1-Online"": 7.02, ""2-Local"": 16.08, ""2-Supermarket"": 14.13, ""2-Online"": 16.79}"
106,Optimal,4710.9914,"{""1-Local"": 6.62, ""1-Supermarket"": 6.82, ""1-Online"": 7.02, ""2-Local"": 16.08, ""2-Supermarket"": 14.13, ""2-Online"": 20.67}"
107,Optimal,4461.728733333334,"{""1-Local"": 6.62, ""1-Supermarket"": 6.82, ""1-Online"": 7.02, ""2-Local"": 16.08, ""2-Supermarket"": 14.13, ""2-Online"": 24.55}"
108,Optimal,4504.987400000002,"{""1-Local"": 6.62, ""1-Supermarket"": 6.82, ""1-Online"": 7.02, ""2-Local"": 21.74, ""2-Supermarket"": 4.96, ""2-Online"": 5.16}"
